protein_id	protein_name	genome_name	genome_id	length
AGN30189.1--GCA_000910195.2	hypothetical protein VPFG_00189	Vibrio phage nt-1	GCA_000910195.2	97
AGN30190.2--GCA_000910195.2	RIIA protector from prophage-induced early lysis	Vibrio phage nt-1	GCA_000910195.2	694
AGN30191.1--GCA_000910195.2	RIIB protector from prophage-induced early lysis	Vibrio phage nt-1	GCA_000910195.2	343
AGN30192.1--GCA_000910195.2	hypothetical protein VPFG_00192	Vibrio phage nt-1	GCA_000910195.2	116
AGN30193.1--GCA_000910195.2	cAMP-dependent Kef-type K+ transporter	Vibrio phage nt-1	GCA_000910195.2	228
AGN30194.1--GCA_000910195.2	hypothetical protein VPFG_00194	Vibrio phage nt-1	GCA_000910195.2	190
AGN30195.1--GCA_000910195.2	hypothetical protein VPFG_00195	Vibrio phage nt-1	GCA_000910195.2	158
AGN30196.1--GCA_000910195.2	hypothetical protein VPFG_00196	Vibrio phage nt-1	GCA_000910195.2	138
AGN30197.1--GCA_000910195.2	hypothetical protein VPFG_00197	Vibrio phage nt-1	GCA_000910195.2	75
AGN30198.1--GCA_000910195.2	NrdC.11	Vibrio phage nt-1	GCA_000910195.2	337
AGN30199.1--GCA_000910195.2	hypothetical protein VPFG_00199	Vibrio phage nt-1	GCA_000910195.2	117
AGN30200.1--GCA_000910195.2	hypothetical protein VPFG_00200	Vibrio phage nt-1	GCA_000910195.2	83
AGN30201.1--GCA_000910195.2	hypothetical protein VPFG_00201	Vibrio phage nt-1	GCA_000910195.2	146
AGN30202.1--GCA_000910195.2	hypothetical protein VPFG_00202	Vibrio phage nt-1	GCA_000910195.2	124
AGN30203.1--GCA_000910195.2	Dda DNA helicase	Vibrio phage nt-1	GCA_000910195.2	421
AGN30204.1--GCA_000910195.2	hypothetical protein VPFG_00204	Vibrio phage nt-1	GCA_000910195.2	102
AGN30205.1--GCA_000910195.2	hypothetical protein VPFG_00205	Vibrio phage nt-1	GCA_000910195.2	57
AGN30206.1--GCA_000910195.2	hypothetical protein VPFG_00206	Vibrio phage nt-1	GCA_000910195.2	253
AGN30207.1--GCA_000910195.2	hypothetical protein VPFG_00207	Vibrio phage nt-1	GCA_000910195.2	156
AGN30208.1--GCA_000910195.2	hypothetical protein VPFG_00208	Vibrio phage nt-1	GCA_000910195.2	172
AGN30209.2--GCA_000910195.2	bifunctional NMN adenylyltransferase/ADP-ribose pyrophosphatase	Vibrio phage nt-1	GCA_000910195.2	343
AGN30210.1--GCA_000910195.2	hypothetical protein VPFG_00210	Vibrio phage nt-1	GCA_000910195.2	90
AGN30211.1--GCA_000910195.2	hypothetical protein VPFG_00211	Vibrio phage nt-1	GCA_000910195.2	115
AGN30212.1--GCA_000910195.2	hypothetical protein VPFG_00212	Vibrio phage nt-1	GCA_000910195.2	235
AGN30213.1--GCA_000910195.2	hypothetical protein VPFG_00213	Vibrio phage nt-1	GCA_000910195.2	207
AGN30214.2--GCA_000910195.2	hypothetical protein VPFG_00214	Vibrio phage nt-1	GCA_000910195.2	74
AGN30215.1--GCA_000910195.2	hypothetical protein VPFG_00215	Vibrio phage nt-1	GCA_000910195.2	71
AGN30216.1--GCA_000910195.2	hypothetical protein VPFG_00216	Vibrio phage nt-1	GCA_000910195.2	63
AGN30217.1--GCA_000910195.2	hypothetical protein VPFG_00217	Vibrio phage nt-1	GCA_000910195.2	73
AGN30218.1--GCA_000910195.2	hypothetical protein VPFG_00218	Vibrio phage nt-1	GCA_000910195.2	56
AGN30219.2--GCA_000910195.2	hypothetical protein VPFG_00219	Vibrio phage nt-1	GCA_000910195.2	176
AGN30220.1--GCA_000910195.2	hypothetical protein VPFG_00220	Vibrio phage nt-1	GCA_000910195.2	74
AGN30221.1--GCA_000910195.2	hypothetical protein VPFG_00221	Vibrio phage nt-1	GCA_000910195.2	58
AGN30222.1--GCA_000910195.2	hypothetical protein VPFG_00222	Vibrio phage nt-1	GCA_000910195.2	64
AGN30223.1--GCA_000910195.2	hypothetical protein VPFG_00223	Vibrio phage nt-1	GCA_000910195.2	53
AGN30224.1--GCA_000910195.2	hypothetical protein VPFG_00224	Vibrio phage nt-1	GCA_000910195.2	59
AGN30225.2--GCA_000910195.2	hypothetical protein VPFG_00225	Vibrio phage nt-1	GCA_000910195.2	176
AGN30226.1--GCA_000910195.2	hypothetical protein VPFG_00226	Vibrio phage nt-1	GCA_000910195.2	204
AGN30227.1--GCA_000910195.2	hypothetical protein VPFG_00228	Vibrio phage nt-1	GCA_000910195.2	120
AGN30228.1--GCA_000910195.2	hypothetical protein VPFG_00229	Vibrio phage nt-1	GCA_000910195.2	138
AGN30229.1--GCA_000910195.2	hypothetical protein VPFG_00230	Vibrio phage nt-1	GCA_000910195.2	74
AGN30230.1--GCA_000910195.2	hypothetical protein VPFG_00231	Vibrio phage nt-1	GCA_000910195.2	107
AGN30231.1--GCA_000910195.2	hypothetical protein VPFG_00232	Vibrio phage nt-1	GCA_000910195.2	126
AGN30232.1--GCA_000910195.2	hypothetical protein VPFG_00233	Vibrio phage nt-1	GCA_000910195.2	118
AGN30233.1--GCA_000910195.2	hypothetical protein VPFG_00234	Vibrio phage nt-1	GCA_000910195.2	124
AGN30234.1--GCA_000910195.2	hypothetical protein VPFG_00235	Vibrio phage nt-1	GCA_000910195.2	173
AGN30235.1--GCA_000910195.2	hypothetical protein VPFG_00236	Vibrio phage nt-1	GCA_000910195.2	131
AGN30236.1--GCA_000910195.2	hypothetical protein VPFG_00237	Vibrio phage nt-1	GCA_000910195.2	122
AGN30237.1--GCA_000910195.2	hypothetical protein VPFG_00238	Vibrio phage nt-1	GCA_000910195.2	118
AGN30238.1--GCA_000910195.2	hypothetical protein VPFG_00239	Vibrio phage nt-1	GCA_000910195.2	116
AGN30239.1--GCA_000910195.2	hypothetical protein VPFG_00240	Vibrio phage nt-1	GCA_000910195.2	78
AGN30240.1--GCA_000910195.2	hypothetical protein VPFG_00241	Vibrio phage nt-1	GCA_000910195.2	101
AGN30241.1--GCA_000910195.2	hypothetical protein VPFG_00242	Vibrio phage nt-1	GCA_000910195.2	63
AGN30242.2--GCA_000910195.2	hypothetical protein VPFG_00243	Vibrio phage nt-1	GCA_000910195.2	110
AGN30243.1--GCA_000910195.2	hypothetical protein VPFG_00244	Vibrio phage nt-1	GCA_000910195.2	51
AGN30244.1--GCA_000910195.2	hypothetical protein VPFG_00245	Vibrio phage nt-1	GCA_000910195.2	69
AGN30245.1--GCA_000910195.2	hypothetical protein VPFG_00246	Vibrio phage nt-1	GCA_000910195.2	144
AGN30246.1--GCA_000910195.2	hypothetical protein VPFG_00247	Vibrio phage nt-1	GCA_000910195.2	50
AGN30247.1--GCA_000910195.2	hypothetical protein VPFG_00248	Vibrio phage nt-1	GCA_000910195.2	107
AGN30248.1--GCA_000910195.2	hypothetical protein VPFG_00249	Vibrio phage nt-1	GCA_000910195.2	96
AGN30249.1--GCA_000910195.2	hypothetical protein VPFG_00250	Vibrio phage nt-1	GCA_000910195.2	100
AGN30250.1--GCA_000910195.2	hypothetical protein VPFG_00251	Vibrio phage nt-1	GCA_000910195.2	111
AGN30251.2--GCA_000910195.2	hypothetical protein VPFG_00252	Vibrio phage nt-1	GCA_000910195.2	107
AGN30252.1--GCA_000910195.2	hypothetical protein VPFG_00253	Vibrio phage nt-1	GCA_000910195.2	185
AGN30253.1--GCA_000910195.2	hypothetical protein VPFG_00254	Vibrio phage nt-1	GCA_000910195.2	91
AGN30254.1--GCA_000910195.2	hypothetical protein VPFG_00255	Vibrio phage nt-1	GCA_000910195.2	193
AGN30255.2--GCA_000910195.2	hypothetical protein VPFG_00256	Vibrio phage nt-1	GCA_000910195.2	183
AGN30256.1--GCA_000910195.2	hypothetical protein VPFG_00257	Vibrio phage nt-1	GCA_000910195.2	80
AGN30257.1--GCA_000910195.2	hypothetical protein VPFG_00258	Vibrio phage nt-1	GCA_000910195.2	127
AGN30258.1--GCA_000910195.2	hypothetical protein VPFG_00259	Vibrio phage nt-1	GCA_000910195.2	197
AGN30259.1--GCA_000910195.2	hypothetical protein VPFG_00260	Vibrio phage nt-1	GCA_000910195.2	224
AGN30260.1--GCA_000910195.2	hypothetical protein VPFG_00261	Vibrio phage nt-1	GCA_000910195.2	80
AGN30261.1--GCA_000910195.2	hypothetical protein VPFG_00262	Vibrio phage nt-1	GCA_000910195.2	96
AGN30262.1--GCA_000910195.2	hypothetical protein VPFG_00263	Vibrio phage nt-1	GCA_000910195.2	93
AGN30263.1--GCA_000910195.2	hypothetical protein VPFG_00264	Vibrio phage nt-1	GCA_000910195.2	94
AGN30264.1--GCA_000910195.2	DenV endonuclease V	Vibrio phage nt-1	GCA_000910195.2	140
AGN30265.1--GCA_000910195.2	hypothetical protein VPFG_00266	Vibrio phage nt-1	GCA_000910195.2	149
AGN30266.2--GCA_000910195.2	hypothetical protein VPFG_00267	Vibrio phage nt-1	GCA_000910195.2	121
AGN30267.1--GCA_000910195.2	hypothetical protein VPFG_00268	Vibrio phage nt-1	GCA_000910195.2	74
AGN30268.2--GCA_000910195.2	hypothetical protein VPFG_00269	Vibrio phage nt-1	GCA_000910195.2	56
AGN30269.1--GCA_000910195.2	hypothetical protein VPFG_00270	Vibrio phage nt-1	GCA_000910195.2	80
AGN30270.1--GCA_000910195.2	hypothetical protein VPFG_00271	Vibrio phage nt-1	GCA_000910195.2	135
AGN30271.1--GCA_000910195.2	hypothetical protein VPFG_00272	Vibrio phage nt-1	GCA_000910195.2	73
AGN30272.1--GCA_000910195.2	nicotinamide-nucleotide adenylyltransferase and transcriptional regulator	Vibrio phage nt-1	GCA_000910195.2	324
AGN30273.1--GCA_000910195.2	hypothetical protein VPFG_00274	Vibrio phage nt-1	GCA_000910195.2	119
AGN30274.1--GCA_000910195.2	hypothetical protein VPFG_00275	Vibrio phage nt-1	GCA_000910195.2	114
AGN30275.1--GCA_000910195.2	hypothetical protein VPFG_00276	Vibrio phage nt-1	GCA_000910195.2	114
AGN30276.1--GCA_000910195.2	hypothetical protein VPFG_00277	Vibrio phage nt-1	GCA_000910195.2	88
AGN30277.1--GCA_000910195.2	PnuC ribosyl nicotinamide transporter	Vibrio phage nt-1	GCA_000910195.2	227
AGN30278.2--GCA_000910195.2	hypothetical protein VPFG_00279	Vibrio phage nt-1	GCA_000910195.2	140
AGN30279.2--GCA_000910195.2	hypothetical protein VPFG_00280	Vibrio phage nt-1	GCA_000910195.2	165
AGN30280.1--GCA_000910195.2	hypothetical protein VPFG_00281	Vibrio phage nt-1	GCA_000910195.2	91
AGN30281.1--GCA_000910195.2	hypothetical protein VPFG_00282	Vibrio phage nt-1	GCA_000910195.2	75
AGN30282.1--GCA_000910195.2	hypothetical protein VPFG_00283	Vibrio phage nt-1	GCA_000910195.2	118
AGN30283.1--GCA_000910195.2	hypothetical protein VPFG_00284	Vibrio phage nt-1	GCA_000910195.2	58
AGN30284.1--GCA_000910195.2	hypothetical protein VPFG_00285	Vibrio phage nt-1	GCA_000910195.2	76
AGN30285.1--GCA_000910195.2	hypothetical protein VPFG_00286	Vibrio phage nt-1	GCA_000910195.2	79
AGN30286.1--GCA_000910195.2	hypothetical protein VPFG_00287	Vibrio phage nt-1	GCA_000910195.2	88
AGN30287.1--GCA_000910195.2	hypothetical protein VPFG_00288	Vibrio phage nt-1	GCA_000910195.2	244
AGN30288.1--GCA_000910195.2	hypothetical protein VPFG_00289	Vibrio phage nt-1	GCA_000910195.2	97
AGN30289.2--GCA_000910195.2	hypothetical protein VPFG_00290	Vibrio phage nt-1	GCA_000910195.2	124
AGN30290.1--GCA_000910195.2	hypothetical protein VPFG_00291	Vibrio phage nt-1	GCA_000910195.2	92
AGN30291.1--GCA_000910195.2	hypothetical protein VPFG_00292	Vibrio phage nt-1	GCA_000910195.2	154
AGN30292.1--GCA_000910195.2	hypothetical protein VPFG_00293	Vibrio phage nt-1	GCA_000910195.2	91
AGN30293.2--GCA_000910195.2	hypothetical protein VPFG_00294	Vibrio phage nt-1	GCA_000910195.2	270
AGN30294.1--GCA_000910195.2	hypothetical protein VPFG_00295	Vibrio phage nt-1	GCA_000910195.2	160
AGN30295.2--GCA_000910195.2	hypothetical protein VPFG_00296	Vibrio phage nt-1	GCA_000910195.2	171
AGN30296.1--GCA_000910195.2	hypothetical protein VPFG_00297	Vibrio phage nt-1	GCA_000910195.2	97
AGN30297.2--GCA_000910195.2	hypothetical protein VPFG_00298	Vibrio phage nt-1	GCA_000910195.2	78
AGN30298.1--GCA_000910195.2	hypothetical protein VPFG_00299	Vibrio phage nt-1	GCA_000910195.2	116
AGN30299.2--GCA_000910195.2	hypothetical protein VPFG_00300	Vibrio phage nt-1	GCA_000910195.2	109
AGN30300.1--GCA_000910195.2	hypothetical protein VPFG_00301	Vibrio phage nt-1	GCA_000910195.2	125
AGN30301.1--GCA_000910195.2	hypothetical protein VPFG_00302	Vibrio phage nt-1	GCA_000910195.2	148
AGN30302.2--GCA_000910195.2	hypothetical protein VPFG_00303	Vibrio phage nt-1	GCA_000910195.2	149
AGN30303.1--GCA_000910195.2	hypothetical protein VPFG_00304	Vibrio phage nt-1	GCA_000910195.2	134
AGN30304.1--GCA_000910195.2	hypothetical protein VPFG_00305	Vibrio phage nt-1	GCA_000910195.2	109
AGN30305.1--GCA_000910195.2	hypothetical protein VPFG_00306	Vibrio phage nt-1	GCA_000910195.2	82
AGN30306.1--GCA_000910195.2	hypothetical protein VPFG_00307	Vibrio phage nt-1	GCA_000910195.2	141
AGN30307.1--GCA_000910195.2	hypothetical protein VPFG_00308	Vibrio phage nt-1	GCA_000910195.2	242
AGN30308.1--GCA_000910195.2	FG-GAP repeat protein	Vibrio phage nt-1	GCA_000910195.2	402
AGN30309.1--GCA_000910195.2	nicotinate phosphoribosyltransferase	Vibrio phage nt-1	GCA_000910195.2	497
AGN30310.2--GCA_000910195.2	hypothetical protein VPFG_00311	Vibrio phage nt-1	GCA_000910195.2	173
AGN30311.1--GCA_000910195.2	hypothetical protein VPFG_00313	Vibrio phage nt-1	GCA_000910195.2	81
AGN30312.1--GCA_000910195.2	hypothetical protein VPFG_00314	Vibrio phage nt-1	GCA_000910195.2	424
AGN30313.2--GCA_000910195.2	hypothetical protein VPFG_00315	Vibrio phage nt-1	GCA_000910195.2	97
AGN30314.1--GCA_000910195.2	hypothetical protein VPFG_00316	Vibrio phage nt-1	GCA_000910195.2	242
AGN30315.1--GCA_000910195.2	hypothetical protein VPFG_00317	Vibrio phage nt-1	GCA_000910195.2	144
AGN30316.1--GCA_000910195.2	hypothetical protein VPFG_00318	Vibrio phage nt-1	GCA_000910195.2	93
AGN30317.1--GCA_000910195.2	hypothetical protein VPFG_00319	Vibrio phage nt-1	GCA_000910195.2	168
AGN30318.1--GCA_000910195.2	radical SAM domain protein	Vibrio phage nt-1	GCA_000910195.2	351
AGN30319.1--GCA_000910195.2	hypothetical protein VPFG_00321	Vibrio phage nt-1	GCA_000910195.2	89
AGN30320.1--GCA_000910195.2	hypothetical protein VPFG_00322	Vibrio phage nt-1	GCA_000910195.2	327
AGN30321.1--GCA_000910195.2	hypothetical protein VPFG_00323	Vibrio phage nt-1	GCA_000910195.2	67
AGN30322.2--GCA_000910195.2	hypothetical protein VPFG_00324	Vibrio phage nt-1	GCA_000910195.2	158
AGN30323.2--GCA_000910195.2	NrdA aerobic NDP reductase large subunit	Vibrio phage nt-1	GCA_000910195.2	741
AGN30324.1--GCA_000910195.2	NrdB aerobic NDP reductase small subunit	Vibrio phage nt-1	GCA_000910195.2	374
AGN30325.1--GCA_000910195.2	NrdC thioredoxin	Vibrio phage nt-1	GCA_000910195.2	99
AGN30326.1--GCA_000910195.2	Vs.1	Vibrio phage nt-1	GCA_000910195.2	186
AGN30327.1--GCA_000910195.2	hypothetical protein VPFG_00329	Vibrio phage nt-1	GCA_000910195.2	61
AGN30328.1--GCA_000910195.2	NrdC.10	Vibrio phage nt-1	GCA_000910195.2	343
AGN30329.1--GCA_000910195.2	hypothetical protein VPFG_00332	Vibrio phage nt-1	GCA_000910195.2	80
AGN30330.1--GCA_000910195.2	radical SAM domain protein	Vibrio phage nt-1	GCA_000910195.2	291
AGN30331.1--GCA_000910195.2	putative permease	Vibrio phage nt-1	GCA_000910195.2	84
AGN30332.1--GCA_000910195.2	hypothetical protein VPFG_00335	Vibrio phage nt-1	GCA_000910195.2	51
AGN30333.1--GCA_000910195.2	hypothetical protein VPFG_00336	Vibrio phage nt-1	GCA_000910195.2	99
AGN30334.1--GCA_000910195.2	hypothetical protein VPFG_00337	Vibrio phage nt-1	GCA_000910195.2	89
AGN30335.1--GCA_000910195.2	hypothetical protein VPFG_00338	Vibrio phage nt-1	GCA_000910195.2	90
AGN30336.1--GCA_000910195.2	hypothetical protein VPFG_00339	Vibrio phage nt-1	GCA_000910195.2	368
AGN30337.1--GCA_000910195.2	hypothetical protein VPFG_00340	Vibrio phage nt-1	GCA_000910195.2	161
AGN30338.1--GCA_000910195.2	PhoH phosphate starvation-inducible protein	Vibrio phage nt-1	GCA_000910195.2	235
AGN30339.1--GCA_000910195.2	hypothetical protein VPFG_00342	Vibrio phage nt-1	GCA_000910195.2	102
AGN30340.1--GCA_000910195.2	hypothetical protein VPFG_00343	Vibrio phage nt-1	GCA_000910195.2	243
AGN30341.1--GCA_000910195.2	AsiA anti-sigma 70 protein	Vibrio phage nt-1	GCA_000910195.2	99
AGN30342.1--GCA_000910195.2	hypothetical protein VPFG_00345	Vibrio phage nt-1	GCA_000910195.2	97
AGN30343.1--GCA_000910195.2	hypothetical protein VPFG_00346	Vibrio phage nt-1	GCA_000910195.2	190
AGN30344.1--GCA_000910195.2	gp36+37 fusion long tail fiber distal subunit	Vibrio phage nt-1	GCA_000910195.2	1079
AGN30345.1--GCA_000910195.2	gp36+37 fusion long tail fiber distal subunit	Vibrio phage nt-1	GCA_000910195.2	1187
AGN30346.1--GCA_000910195.2	hypothetical protein VPFG_00349	Vibrio phage nt-1	GCA_000910195.2	101
AGN30347.1--GCA_000910195.2	hypothetical protein VPFG_00350	Vibrio phage nt-1	GCA_000910195.2	172
AGN30348.2--GCA_000910195.2	hypothetical protein VPFG_00351	Vibrio phage nt-1	GCA_000910195.2	478
AGN30349.1--GCA_000910195.2	hypothetical protein VPFG_00352	Vibrio phage nt-1	GCA_000910195.2	105
AGN30350.1--GCA_000910195.2	hypothetical protein VPFG_00353	Vibrio phage nt-1	GCA_000910195.2	110
AGN30351.1--GCA_000910195.2	hypothetical protein VPFG_00354	Vibrio phage nt-1	GCA_000910195.2	123
AGN30352.1--GCA_000910195.2	hypothetical protein VPFG_00355	Vibrio phage nt-1	GCA_000910195.2	119
AGN30353.1--GCA_000910195.2	hypothetical protein VPFG_00356	Vibrio phage nt-1	GCA_000910195.2	123
AGN30354.1--GCA_000910195.2	hypothetical protein VPFG_00357	Vibrio phage nt-1	GCA_000910195.2	70
AGN30355.1--GCA_000910195.2	hypothetical protein VPFG_00358	Vibrio phage nt-1	GCA_000910195.2	74
AGN30356.1--GCA_000910195.2	hypothetical protein VPFG_00359	Vibrio phage nt-1	GCA_000910195.2	59
AGN30357.1--GCA_000910195.2	hypothetical protein VPFG_00360	Vibrio phage nt-1	GCA_000910195.2	77
AGN30358.1--GCA_000910195.2	hypothetical protein VPFG_00361	Vibrio phage nt-1	GCA_000910195.2	74
AGN30359.1--GCA_000910195.2	hypothetical protein VPFG_00362	Vibrio phage nt-1	GCA_000910195.2	100
AGN30360.1--GCA_000910195.2	hypothetical protein VPFG_00363	Vibrio phage nt-1	GCA_000910195.2	103
AGN30361.1--GCA_000910195.2	hypothetical protein VPFG_00364	Vibrio phage nt-1	GCA_000910195.2	80
AGN30362.1--GCA_000910195.2	hypothetical protein VPFG_00365	Vibrio phage nt-1	GCA_000910195.2	78
AGN30363.1--GCA_000910195.2	putative HNH endonuclease	Vibrio phage nt-1	GCA_000910195.2	147
AGN30364.1--GCA_000910195.2	hypothetical protein VPFG_00367	Vibrio phage nt-1	GCA_000910195.2	69
AGN30365.1--GCA_000910195.2	hypothetical protein VPFG_00368	Vibrio phage nt-1	GCA_000910195.2	82
AGN30366.1--GCA_000910195.2	hypothetical protein VPFG_00369	Vibrio phage nt-1	GCA_000910195.2	302
AGN30367.1--GCA_000910195.2	hypothetical protein VPFG_00370	Vibrio phage nt-1	GCA_000910195.2	77
AGN30368.1--GCA_000910195.2	hypothetical protein VPFG_00371	Vibrio phage nt-1	GCA_000910195.2	96
AGN30369.1--GCA_000910195.2	hypothetical protein VPFG_00372	Vibrio phage nt-1	GCA_000910195.2	175
AGN30370.1--GCA_000910195.2	hypothetical protein VPFG_00373	Vibrio phage nt-1	GCA_000910195.2	69
AGN30372.2--GCA_000910195.2	hypothetical protein VPFG_00375	Vibrio phage nt-1	GCA_000910195.2	84
AGN30373.1--GCA_000910195.2	hypothetical protein VPFG_00376	Vibrio phage nt-1	GCA_000910195.2	151
AGN30374.1--GCA_000910195.2	hypothetical protein VPFG_00377	Vibrio phage nt-1	GCA_000910195.2	91
AGN30375.1--GCA_000910195.2	dNMP kinase	Vibrio phage nt-1	GCA_000910195.2	212
AGN30376.1--GCA_000910195.2	tail completion and sheath stabilizer protein	Vibrio phage nt-1	GCA_000910195.2	179
AGN30377.2--GCA_000910195.2	hypothetical protein VPFG_00380	Vibrio phage nt-1	GCA_000910195.2	623
AGN30378.1--GCA_000910195.2	hypothetical protein VPFG_00381	Vibrio phage nt-1	GCA_000910195.2	55
AGN30379.1--GCA_000910195.2	baseplate hub subunit	Vibrio phage nt-1	GCA_000910195.2	282
AGN30380.1--GCA_000910195.2	baseplate tail tube initiator	Vibrio phage nt-1	GCA_000910195.2	248
AGN30381.1--GCA_000910195.2	DNA end protector protein	Vibrio phage nt-1	GCA_000910195.2	198
AGN30382.1--GCA_000910195.2	head completion protein	Vibrio phage nt-1	GCA_000910195.2	151
AGN30383.1--GCA_000910195.2	baseplate tail tube cap	Vibrio phage nt-1	GCA_000910195.2	385
AGN30384.1--GCA_000910195.2	baseplate wedge subunit	Vibrio phage nt-1	GCA_000910195.2	192
AGN30385.1--GCA_000910195.2	hypothetical protein VPFG_00388	Vibrio phage nt-1	GCA_000910195.2	423
AGN30386.1--GCA_000910195.2	baseplate hub subunit and tail lysozyme	Vibrio phage nt-1	GCA_000910195.2	389
AGN30387.1--GCA_000910195.2	hypothetical protein VPFG_00390	Vibrio phage nt-1	GCA_000910195.2	161
AIE13770.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	29
AIE13771.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	48
AIE13772.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	33
AIE13773.1--GCA_000910195.2	hypothetical protein VPFG_00227	Vibrio phage nt-1	GCA_000910195.2	118
AIE13774.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	43
AIE13775.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	57
AIE13776.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	41
AIE13777.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	48
AIE13778.1--GCA_000910195.2	hypothetical protein VPFG_00312	Vibrio phage nt-1	GCA_000910195.2	71
AIE13779.1--GCA_000910195.2	topoisomerase II medium subunit	Vibrio phage nt-1	GCA_000910195.2	428
AIE13780.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	37
AIE13781.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	29
AIE13782.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	47
AIE13783.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	37
AIE13784.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	46
AIE13785.1--GCA_000910195.2	prohead core scaffold protein and protease	Vibrio phage nt-1	GCA_000910195.2	213
AIE13786.1--GCA_000910195.2	prohead core scaffold protein	Vibrio phage nt-1	GCA_000910195.2	279
AIE13787.1--GCA_000910195.2	tRNA nucleotidyltransferase	Vibrio phage nt-1	GCA_000910195.2	197
AIE13788.1--GCA_000910195.2	tRNA nucleotidyltransferase	Vibrio phage nt-1	GCA_000910195.2	160
AIE13789.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	36
AIE13790.1--GCA_000910195.2	RNaseH ribonuclease	Vibrio phage nt-1	GCA_000910195.2	238
AIE13791.1--GCA_000910195.2	hypothetical protein VPFG_00067	Vibrio phage nt-1	GCA_000910195.2	274
AIE13792.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	62
AIE13793.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	76
AIE13794.1--GCA_000910195.2	hypothetical protein VPFG_00180	Vibrio phage nt-1	GCA_000910195.2	84
AIE13795.1--GCA_000910195.2	RnlB RNA ligase 2	Vibrio phage nt-1	GCA_000910195.2	327
AIE13796.1--GCA_000910195.2	hypothetical protein	Vibrio phage nt-1	GCA_000910195.2	45
AAN01843.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_1	Mycobacterium phage Rosebush	GCA_000842345.1	263
AAN01844.1--GCA_000842345.1	queuine tRNA-ribosyltransferase	Mycobacterium phage Rosebush	GCA_000842345.1	385
AAN01845.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_3	Mycobacterium phage Rosebush	GCA_000842345.1	235
AAN01846.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_4	Mycobacterium phage Rosebush	GCA_000842345.1	143
AAN01847.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_5	Mycobacterium phage Rosebush	GCA_000842345.1	237
AAN01848.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_6	Mycobacterium phage Rosebush	GCA_000842345.1	191
AAN01849.1--GCA_000842345.1	terminase	Mycobacterium phage Rosebush	GCA_000842345.1	564
AAN01850.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_8	Mycobacterium phage Rosebush	GCA_000842345.1	156
AAN01851.1--GCA_000842345.1	RuvC-like resolvase	Mycobacterium phage Rosebush	GCA_000842345.1	162
AAN01852.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_10	Mycobacterium phage Rosebush	GCA_000842345.1	106
AAN01853.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_11	Mycobacterium phage Rosebush	GCA_000842345.1	112
AAN01854.1--GCA_000842345.1	portal protein	Mycobacterium phage Rosebush	GCA_000842345.1	629
AAN01855.1--GCA_000842345.1	MuF-like minor capsid protein	Mycobacterium phage Rosebush	GCA_000842345.1	815
AAN01856.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_14	Mycobacterium phage Rosebush	GCA_000842345.1	57
AAN01857.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_15	Mycobacterium phage Rosebush	GCA_000842345.1	675
AAN01858.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_16	Mycobacterium phage Rosebush	GCA_000842345.1	272
AAN01859.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_17	Mycobacterium phage Rosebush	GCA_000842345.1	249
AAN01860.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_18	Mycobacterium phage Rosebush	GCA_000842345.1	180
AAN01861.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_19	Mycobacterium phage Rosebush	GCA_000842345.1	160
AAN01862.1--GCA_000842345.1	hypothetical protein PBI_ROSEBUSH_20	Mycobacterium phage Rosebush	GCA_000842345.1	110
